Time_s,F0_Hz
202.146896,0
202.151063,0
202.155230,0
202.159396,0
202.163563,0
202.167730,0
202.171896,0
202.176063,0
202.180230,0
202.184396,0
202.188563,0
202.192730,0
202.196896,0
202.201063,0
202.205230,0
202.209396,0
202.213563,0
202.217730,0
202.221896,0
202.226063,0
202.230230,0
202.234396,0
202.238563,0
202.242730,0
202.246896,0
202.251063,0
202.255230,0
202.259396,0
202.263563,0
202.267730,0
202.271896,0
202.276063,0
202.280230,0
202.284396,0
202.288563,0
202.292730,0
202.296896,0
202.301063,0
202.305230,0
202.309396,0
202.313563,0
202.317730,0
202.321896,0
202.326063,0
202.330230,0
202.334396,0
202.338563,0
202.342730,0
202.346896,0
202.351063,0
202.355230,0
202.359396,0
202.363563,0
202.367730,0
202.371896,0
202.376063,0
202.380230,0
202.384396,0
202.388563,0
202.392730,0
202.396896,0
202.401063,0
202.405230,0
202.409396,0
202.413563,0
202.417730,0
202.421896,0
202.426063,0
202.430230,0
202.434396,0
202.438563,0
202.442730,0
202.446896,0
202.451063,0
202.455230,0
202.459396,0
202.463563,0
202.467730,0
202.471896,0
202.476063,0
202.480230,0
202.484396,0
202.488563,0
202.492730,0
202.496896,0
202.501063,0
202.505230,0
202.509396,0
202.513563,0
202.517730,0
202.521896,0
202.526063,0
202.530230,0
202.534396,0
202.538563,0
202.542730,0
202.546896,0
202.551063,0
202.555230,0
202.559396,0
202.563563,0
202.567730,0
202.571896,0
202.576063,0
202.580230,0
202.584396,0
202.588563,0
202.592730,0
202.596896,0
202.601063,0
202.605230,0
202.609396,0
202.613563,0
202.617730,0
202.621896,0
202.626063,0
202.630230,0
202.634396,0
202.638563,0
202.642730,0
202.646896,0
202.651063,0
202.655230,0
202.659396,0
202.663563,0
202.667730,0
202.671896,0
202.676063,0
202.680230,0
202.684396,0
202.688563,0
202.692730,0
202.696896,0
202.701063,0
202.705230,0
202.709396,0
202.713563,0
202.717730,0
202.721896,0
202.726063,0
202.730230,0
202.734396,0
202.738563,0
202.742730,0
202.746896,0
202.751063,0
202.755230,0
202.759396,0
202.763563,0
202.767730,0
202.771896,0
202.776063,0
202.780230,0
202.784396,0
202.788563,0
202.792730,0
202.796896,0
202.801063,0
202.805230,0
202.809396,0
202.813563,0
202.817730,0
202.821896,0
202.826063,0
202.830230,0
202.834396,0
202.838563,0
202.842730,0
202.846896,0
202.851063,0
202.855230,0
202.859396,0
202.863563,0
202.867730,0
202.871896,0
202.876063,0
202.880230,0
202.884396,0
202.888563,0
202.892730,0
202.896896,0
202.901063,0
202.905230,0
202.909396,0
202.913563,0
202.917730,0
202.921896,0
202.926063,0
202.930230,0
202.934396,0
202.938563,0
202.942730,0
202.946896,0
202.951063,0
202.955230,0
202.959396,0
202.963563,0
202.967730,0
202.971896,0
202.976063,0
202.980230,0
202.984396,0
202.988563,0
202.992730,0
202.996896,0
203.001063,0
203.005230,0
203.009396,0
203.013563,0
203.017730,0
203.021896,0
203.026063,0
203.030230,0
203.034396,0
203.038563,0
203.042730,0
203.046896,0
203.051063,0
203.055230,0
203.059396,0
203.063563,0
203.067730,0
203.071896,0
203.076063,0
203.080230,0
203.084396,0
203.088563,0
203.092730,0
203.096896,0
203.101063,0
203.105230,0
203.109396,0
203.113563,0
203.117730,0
203.121896,0
203.126063,0
203.130230,0
203.134396,0
203.138563,0
203.142730,0
203.146896,0
203.151063,0
203.155230,0
203.159396,0
203.163563,0
203.167730,0
203.171896,0
203.176063,0
203.180230,0
203.184396,0
203.188563,0
203.192730,0
203.196896,0
203.201063,0
203.205230,0
203.209396,0
203.213563,0
203.217730,0
203.221896,0
203.226063,0
203.230230,0
203.234396,0
203.238563,0
203.242730,0
203.246896,0
203.251063,0
203.255230,0
203.259396,0
203.263563,0
203.267730,0
203.271896,0
203.276063,0
203.280230,0
203.284396,0
203.288563,0
203.292730,0
203.296896,0
203.301063,0
203.305230,0
203.309396,0
203.313563,0
203.317730,0
203.321896,0
203.326063,0
203.330230,0
203.334396,0
203.338563,0
203.342730,0
203.346896,0
203.351063,0
203.355230,0
203.359396,0
203.363563,0
203.367730,0
203.371896,0
203.376063,0
