coords,x_left,y_left,likelihood,x_right,y_right,likelihood
267,431.2396207,523.0149412,0.999998689,377.1332932,537.1851325,0.999999762
268,430.9164534,522.8551183,0.99999845,377.2982812,536.4164333,0.999999881
269,431.1027675,522.2976308,0.99999845,377.7203217,535.1018555,0.999999881
270,431.1420312,521.489922,0.999999285,378.842742,532.4609382,0.999999762
271,431.2611017,520.7062426,0.999999642,379.5411309,527.6824403,0.999999523
272,430.4764466,520.4835129,0.999999404,380.8828478,524.7312149,0.999995351
273,429.8206315,519.9475381,0.999999404,380.9020486,524.2208539,0.999984264
274,429.0795014,518.5161614,0.999999166,378.0724964,524.759392,0.999988794
275,426.3965284,517.3243957,0.999999404,375.8564737,523.4002023,0.99999845
276,422.5010991,516.135616,1,374.7506177,522.6913767,0.999998331
277,421.6098679,513.5604792,1,372.6548006,518.7838929,0.999999881
278,422.1610656,510.4329429,0.999999642,371.5030739,512.3001196,0.999999285
279,421.8429669,506.9805546,0.999999523,369.9914784,507.3786345,0.999998808
280,422.4565494,504.5133748,0.999999642,367.8185873,505.9029908,0.99999845
281,424.0922341,504.7635593,0.999999642,366.035881,507.2474962,0.999998927
282,424.553297,509.9229856,0.999999285,362.9927168,515.8835245,0.999999762
283,422.255765,516.2556841,1,363.3002802,518.9259064,0.999999523
284,420.3513677,519.4304712,0.999999881,363.6033648,519.5408394,0.999999166
285,419.7157827,518.7744913,0.999999881,365.0926411,519.9276538,0.999998689
286,420.4910934,518.6621194,0.999999881,366.0945468,520.4898796,0.999998808
287,420.8426707,518.2624071,1,364.686811,519.5512495,0.999999166
288,420.937346,516.7837502,1,364.9423307,518.9689374,0.999999404
289,420.9935515,516.3726075,1,365.4954586,519.6646888,0.999999523
290,420.8724031,516.2400958,1,365.804306,519.9492812,0.999999523
291,420.8623518,516.2692661,1,365.7604475,519.8153536,0.999999523
292,421.4214673,515.7606668,1,366.4517293,519.2717772,0.999999762
293,422.1447976,514.8379173,0.999999881,367.1545281,518.5122914,0.999999881
294,422.8289864,513.6126602,0.999999881,367.5209451,517.421631,0.999999881
295,423.0094013,513.1284788,0.999999881,368.1069334,517.2680376,1
296,423.1522915,512.5643859,0.999999881,368.415225,516.2142275,1
297,423.5434093,512.0350597,0.999999881,368.7848678,515.9325642,1
298,423.6755817,511.9670892,0.999999881,368.8714199,515.7863442,1
299,423.7310584,511.7829556,0.999999881,369.3095293,515.8408709,1
300,423.8548703,511.8442702,0.999999881,369.2978377,515.8157189,1
301,424.2577081,511.5333376,0.999999762,369.2238264,516.0745835,1
302,424.2855182,510.6452689,0.999999642,369.097281,514.6639911,1
303,424.7536707,509.620162,0.999999404,369.7160728,513.8056254,1
304,424.8492684,508.5783201,0.999999523,370.4206686,512.9213753,1
305,425.0367222,508.0505829,0.999999523,370.5934086,513.1898251,1
306,424.7028422,508.0329869,0.999999642,370.0202862,512.9590344,1
307,424.142014,510.2702456,0.999999523,369.639863,513.880264,1
308,423.0438032,512.8216052,0.999999881,369.8392892,516.08202,1
309,422.7568018,515.511273,1,368.749501,516.1742413,1
